Num2,Linear
930,1.2e-07
930,2.2e-07
940,2.42e-06
940,1.52e-06
940,1.39e-06
940,2e-07
940,2.29e-06
940,1.19e-06
940,1.2e-06
940,7.2e-07
940,1.21e-06
940,1.75e-06
950,1.74e-06
950,2.66e-06
950,2.53e-06
950,6.6e-07
950,3e-08
950,2.1e-07
950,2.44e-06
950,1.99e-06
950,1.98e-06
950,5.1e-07
960,1.41e-06
960,9.3e-07
960,6.4e-07
960,1.33e-06
960,1.11e-06
960,7.6e-07
960,1.36e-06
960,2.9e-07
960,7.2e-07
960,6.7e-07
970,6.5e-07
970,2e-06
970,2.55e-06
970,2.16e-06
970,2.77e-06
970,2.2e-06
970,2.61e-06
970,2.43e-06
970,2.32e-06
970,1.05e-06
980,1.74e-06
980,4.6e-07
980,2.481e-06
980,3.5e-07
980,8.5e-07
980,6.2e-07
980,3.6e-07
980,1.3e-06
980,1.11e-06
980,1.1e-07
990,2.77e-06
990,1e-07
990,3.49e-06
990,1.4e-06
990,8.1e-07
990,6.3e-07
990,7e-07
990,1.36e-06
990,2.62e-06
990,9.1e-07
1000,1.09e-06
1000,1.08e-06
1000,1.6e-06
1000,8.1e-07
1000,1.87e-06
1000,1.3e-06
1000,6.2e-07
1000,1.48e-06
1000,1.84e-06
1000,1.33e-06
1010,2.81e-06
1010,8.9e-07
1010,1.67e-06
1010,2.18e-06
1010,1.22e-06
1010,6.3e-07
1010,2.58e-06
1010,3.1e-07
1010,2.39e-06
1010,3.8e-07
1020,1.31e-06
1020,3.6e-07
1020,1.28e-06
1020,1.6e-07
1020,3.7e-07
1020,1.87e-06
1020,7.4e-07
1020,1.7e-06
1020,2.62e-06
1020,1.761e-06
1030,8.5e-07
1030,2.54e-06
1030,1.25e-06
1030,2.97e-06
1030,7.8e-07
1030,1.96e-06
1030,2.04e-06
1030,2.62e-06
1030,2.3e-06
1030,2.29e-06
1040,9.8e-07
1040,4.1e-07
1040,1.89e-06
1040,2.52e-06
1040,2.29e-06
1040,2e-07
1040,1.75e-06
1040,2.77e-06
1040,2.8e-06
1040,2.2e-06
1050,7.6e-07
1050,1.27e-06
1050,2.89e-06
1050,2.48e-06
1050,1.49e-06
1050,2.94e-06
1050,1.47e-06
1050,2.06e-06
1050,8.4e-07
1050,1.56e-06
1060,1.31e-06
1060,2.69e-06
1060,7.8e-07
1060,5e-08
1060,8.2e-07
1060,2.22e-06
1060,2.27e-06
1060,1.78e-06
1060,1.27e-06
1060,3.4e-07
1070,5.3e-07
1070,5.5e-07
1070,2.26e-06
1070,8.8e-07
1070,1.25e-06
1070,2.9e-07
1070,2e-07
1070,3.09e-06
1070,3.01e-06
1070,6.6e-07
1080,2.69e-06
1080,9.6e-07
1080,2.21e-06
1080,2.82e-06
1080,2.66e-06
1080,1.79e-06
1080,1.78e-06
1080,2.3e-06
1080,5.1e-07
1080,2.64e-06
1090,1.07e-06
1090,1.27e-06
1090,5.1e-07
