Num5,LinearLM
750,8.7e-07
750,8.7e-07
750,8.6e-07
750,8.6e-07
750,8.6e-07
750,8.6e-07
750,8.7e-07
750,8.6e-07
750,8.7e-07
760,8.8e-07
760,8.8e-07
760,8.7e-07
760,8.7e-07
760,8.8e-07
760,8.7e-07
760,8.7e-07
760,8.8e-07
760,8.7e-07
760,8.8e-07
770,8.9e-07
770,8.8e-07
770,8.8e-07
770,8.8e-07
770,8.8e-07
770,8.9e-07
770,8.9e-07
770,8.9e-07
770,8.8e-07
770,8.9e-07
780,8.9e-07
780,9e-07
780,9e-07
780,9e-07
780,9.1e-07
780,9e-07
780,9e-07
780,9e-07
780,9e-07
780,9e-07
790,9.1e-07
790,9.2e-07
790,9.1e-07
790,9.1e-07
790,9.1e-07
790,9.2e-07
790,9.1e-07
790,9.2e-07
790,9.1e-07
790,9.2e-07
800,9.3e-07
800,9.3e-07
800,9.3e-07
800,9.3e-07
800,9.2e-07
800,9.2e-07
800,9.19e-07
800,9.2e-07
800,9.2e-07
800,9.2e-07
810,1.27e-06
810,9.3e-07
810,9.3e-07
810,9.3e-07
810,9.3e-07
810,9.3e-07
810,9.3e-07
810,9.3e-07
810,9.3e-07
810,9.3e-07
820,9.5e-07
820,9.5e-07
820,9.5e-07
820,9.5e-07
820,9.4e-07
820,9.4e-07
820,9.5e-07
820,9.5e-07
820,9.5e-07
820,9.5e-07
830,9.6e-07
830,9.5e-07
830,9.6e-07
830,9.5e-07
830,9.5e-07
830,9.5e-07
830,9.5e-07
830,9.6e-07
830,9.6e-07
830,9.5e-07
840,9.6e-07
840,9.7e-07
840,9.6e-07
840,9.7e-07
840,9.6e-07
840,9.7e-07
840,1.22e-06
840,9.8e-07
840,9.7e-07
840,9.7e-07
850,9.8e-07
850,9.7e-07
850,9.7e-07
850,9.8e-07
850,9.7e-07
850,9.8e-07
850,9.8e-07
850,9.8e-07
850,9.8e-07
850,9.7e-07
860,9.9e-07
860,9.9e-07
860,9.9e-07
860,9.9e-07
860,9.9e-07
860,1e-06
860,9.8e-07
860,9.8e-07
860,9.9e-07
860,9.8e-07
870,1e-06
870,9.9e-07
870,1e-06
870,1e-06
870,1e-06
870,1e-06
870,1e-06
870,1e-06
870,1e-06
870,1e-06
880,1.01e-06
880,1.01e-06
880,1.01e-06
880,1.01e-06
880,1e-06
880,1.01e-06
880,1.01e-06
880,1.01e-06
880,1.01e-06
880,1.01e-06
890,1.17e-06
890,1.03e-06
890,1.02e-06
890,1.02e-06
890,1.02e-06
890,1.02e-06
890,1.02e-06
890,1.02e-06
890,1.02e-06
890,1.02e-06
900,1.03e-06
900,1.03e-06
900,1.03e-06
900,1.04e-06
900,1.039e-06
900,1.04e-06
900,1.04e-06
900,1.04e-06
900,1.04e-06
900,1.03e-06
910,1.05e-06
910,1.05e-06
910,1.05e-06
910,1.05e-06
910,1.05e-06
910,1.05e-06
910,1.04e-06
910,1.05e-06
910,1.05e-06
910,1.04e-06
920,1.06e-06
920,1.06e-06
920,1.05e-06
920,1.05e-06
920,1.05e-06
920,1.05e-06
920,1.05e-06
920,1.06e-06
920,1.06e-06
920,1.05e-06
930,1.07e-06
930,1.07e-06
930,1.07e-06
930,1.07e-06
930,1.07e-06
930,1.07e-06
930,1.07e-06
930,1.07e-06
930,1.07e-06
930,1.07e-06
940,1.08e-06
940,1.07e-06
940,1.08e-06
940,1.08e-06
940,1.08e-06
940,1.08e-06
940,1.07e-06
940,1.08e-06
940,1.08e-06
940,1.08e-06
950,1.1e-06
950,1.1e-06
950,1.1e-06
950,1.09e-06
950,1.09e-06
950,1.09e-06
950,1.09e-06
950,1.1e-06
950,1.1e-06
950,1.1e-06
960,1.11e-06
960,1.11e-06
960,1.1e-06
960,1.1e-06
960,1.1e-06
960,1.1e-06
960,1.1e-06
960,1.1e-06
960,1.1e-06
960,1.11e-06
970,1.12e-06
970,1.12e-06
970,1.12e-06
970,1.11e-06
970,1.12e-06
970,1.11e-06
970,1.12e-06
970,1.11e-06
970,1.11e-06
970,1.11e-06
980,1.12e-06
980,1.12e-06
980,1.13e-06
980,1.12e-06
980,1.12e-06
980,1.12e-06
980,1.12e-06
980,1.12e-06
980,1.12e-06
980,1.12e-06
990,1.13e-06
990,1.13e-06
990,1.42e-06
990,1.14e-06
990,1.14e-06
990,1.14e-06
990,1.14e-06
990,1.13e-06
990,1.13e-06
990,1.13e-06
1000,1.15e-06
1000,1.15e-06
1000,1.15e-06
1000,1.14e-06
1000,1.14e-06
1000,1.14e-06
1000,1.15e-06
1000,1.14e-06
1000,1.15e-06
1000,1.15e-06
1010,1.17e-06
1010,1.16e-06
1010,1.16e-06
1010,1.16e-06
1010,1.16e-06
1010,1.16e-06
1010,1.16e-06
1010,1.15e-06
1010,1.16e-06
1010,1.16e-06
1020,1.17e-06
1020,1.17e-06
1020,1.16e-06
1020,1.17e-06
1020,1.18e-06
1020,1.17e-06
1020,1.17e-06
1020,1.16e-06
1020,1.18e-06
1020,1.16e-06
1030,1.18e-06
1030,1.18e-06
1030,1.17e-06
1030,1.18e-06
1030,1.19e-06
1030,1.18e-06
1030,1.19e-06
1030,1.19e-06
1030,1.17e-06
1030,1.18e-06
1040,1.19e-06
1040,1.19e-06
1040,1.19e-06
1040,1.19e-06
1040,1.19e-06
1040,1.5e-06
1040,1.19e-06
1040,1.2e-06
1040,1.19e-06
1040,1.19e-06
1050,1.2e-06
1050,1.2e-06
1050,1.2e-06
1050,1.2e-06
1050,1.2e-06
1050,1.21e-06
1050,1.21e-06
1050,1.21e-06
1050,1.21e-06
1050,1.21e-06
1060,1.22e-06
1060,1.22e-06
1060,1.21e-06
1060,1.22e-06
1060,1.21e-06
1060,1.22e-06
1060,1.209e-06
1060,1.21e-06
1060,1.21e-06
1060,1.21e-06
1070,1.23e-06
1070,1.22e-06
1070,1.23e-06
1070,1.22e-06
1070,1.22e-06
1070,1.23e-06
1070,1.22e-06
1070,1.22e-06
1070,1.22e-06
1070,1.22e-06
1080,1.23e-06
1080,1.23e-06
1080,1.24e-06
1080,1.24e-06
1080,1.23e-06
1080,1.23e-06
1080,1.24e-06
1080,1.23e-06
1080,1.23e-06
1080,1.24e-06
1090,1.25e-06
1090,1.25e-06
1090,1.24e-06
1090,1.25e-06
1090,1.25e-06
1090,1.25e-06
1090,1.25e-06
