Num1,Ordenament per barreja
3280,0.000318906
3290,0.000320795
3300,0.000320166
3310,0.000321546
3320,0.000328206
3330,0.000323935
3340,0.000332316
3350,0.000325346
3360,0.000327696
3370,0.000328416
3380,0.000329966
3390,0.000333895
3400,0.000331786
3410,0.000330236
3420,0.000331525
3430,0.000334436
3440,0.000342316
3450,0.000332735
3460,0.000336116
3470,0.000334835
3480,0.000347335
3490,0.000344246
3500,0.000341776
3510,0.000338526
3520,0.000344245
3530,0.000341845
3540,0.000342806
3550,0.000342556
3560,0.000349975
3570,0.000347836
3580,0.000343416
3590,0.000345986
3600,0.000350825
3610,0.000348586
3620,0.000351425
3630,0.000353576
3640,0.000353496
3650,0.000352245
3660,0.000352705
3670,0.000361265
3680,0.000364015
3690,0.000363636
3700,0.000368575
3710,0.000368665
3720,0.000363465
3730,0.000364396
3740,0.000366695
3750,0.000369605
3760,0.000369435
3770,0.000368085
3780,0.000372845
3790,0.000369495
3800,0.000381475
3810,0.000376155
3820,0.000382925
3830,0.000381515
3840,0.000376525
3850,0.000380755
3860,0.000377555
3870,0.000379335
3880,0.000383595
3890,0.000385025
3900,0.000386555
3910,0.000394334
3920,0.000385375
3930,0.000395655
3940,0.000388495
3950,0.000387125
3960,0.000399365
3970,0.000388955
3980,0.000396285
3990,0.000391395
4000,0.000393495
4010,0.000400144
4020,0.000394785
4030,0.000405015
4040,0.000398924
4050,0.000395515
4060,0.000400985
4070,0.000402094
4080,0.000404055
4090,0.000399604
4100,0.000413245
4110,0.000404275
4120,0.000408995
4130,0.000405525
4140,0.000408365
4150,0.000411534
4160,0.000415425
4170,0.000417225
4180,0.000417885
4190,0.000414545
4200,0.000414345
4210,0.000424204
4220,0.000420415
4230,0.000419735
4240,0.000422114
4250,0.000421785
4260,0.000421584
4270,0.000423825
4280,0.000429424
4290,0.000426605
4300,0.000425804
4310,0.000428624
4320,0.000431484
4330,0.000430964
4340,0.000439124
4350,0.000432474
4360,0.000437234
4370,0.000432944
4380,0.000440104
4390,0.000435074
4400,0.000441704
4410,0.000441774
4420,0.000446164
4430,0.000447274
4440,0.000448284
4450,0.000449904
4460,0.000450834
4470,0.000458244
4480,0.000450244
4490,0.000450584
4500,0.000455054
4510,0.000455854
4520,0.000460444
4530,0.000455784
4540,0.000456693
4550,0.000455904
4560,0.000455494
4570,0.000454074
4580,0.000464274
4590,0.000459444
4600,0.000454574
4610,0.000458364
4620,0.000463194
4630,0.000464963
4640,0.000468304
4650,0.000465974
4660,0.000476594
4670,0.000469674
4680,0.000468963
4690,0.000473444
4700,0.000472094
4710,0.000466834
4720,0.000472503
4730,0.000472893
4740,0.000479993
4750,0.000481593
4760,0.000491074
4770,0.000479374
4780,0.000480824
4790,0.000489744
4800,0.000484264
4810,0.000481454
4820,0.000484633
4830,0.000493594
4840,0.000487843
4850,0.000487914
4860,0.000489744
4870,0.000494603
4880,0.000493124
4890,0.000497763
4900,0.000501073
4910,0.000496024
4920,0.000498034
4930,0.000506273
4940,0.000506593
4950,0.000504934
4960,0.000504974
4970,0.000508983
4980,0.000508743
4990,0.000510104
5000,0.000500644
5010,0.000505393
5020,0.000515223
5030,0.000514503
5040,0.000510273
5050,0.000507914
5060,0.000514603
5070,0.000515313
5080,0.000517713
5090,0.000511473
5100,0.000512803
5110,0.000515203
5120,0.000516303
5130,0.000518433
5140,0.000521913
5150,0.000520723
5160,0.000523583
5170,0.000523463
5180,0.000528263
5190,0.000536113
5200,0.000533643
5210,0.000536833
5220,0.000534193
5230,0.000528783
5240,0.000534103
5250,0.000541533
5260,0.000539313
5270,0.000541813
5280,0.000537323
5290,0.000536022
5300,0.000539783
5310,0.000544943
5320,0.000541793
5330,0.000548103
5340,0.000548302
5350,0.000552942
5360,0.000556942
5370,0.000549433
5380,0.000554163
5390,0.000553422
5400,0.000557692
5410,0.000556943
5420,0.000560092
5430,0.000558123
5440,0.000558373
5450,0.000554083
5460,0.000552593
5470,0.000563412
5480,0.000567662
5490,0.000563053
5500,0.000571002
5510,0.000566482
5520,0.000573952
5530,0.000567063
5540,0.000567393
5550,0.000571992
5560,0.000574792
5570,0.000578942
5580,0.000581962
5590,0.000574132
5600,0.000576753
5610,0.000583482
5620,0.000572883
5630,0.000579692
5640,0.000583902
5650,0.000577222
5660,0.000580282
5670,0.000580142
5680,0.000584332
5690,0.000587992
5700,0.000588472
5710,0.000584962
5720,0.000589213
5730,0.000584772
5740,0.000591252
5750,0.000589982
5760,0.000600452
5770,0.000594983
5780,0.000600012
5790,0.000599782
5800,0.000605631
5810,0.000594442
5820,0.000600382
5830,0.000599682
5840,0.000598512
5850,0.000600342
5860,0.000603202
5870,0.000606322
5880,0.000599432
5890,0.000606152
5900,0.000604132
5910,0.000600262
5920,0.000607942
5930,0.000606502
5940,0.000607552
5950,0.000615342
5960,0.000618232
5970,0.000616212
5980,0.000621632
5990,0.000618882
6000,0.000617892
6010,0.000620822
6020,0.000631892
6030,0.000622432
6040,0.000623032
6050,0.000622172
6060,0.000622862
6070,0.000630862
6080,0.000634162
6090,0.000626001
6100,0.000625222
6110,0.000627291
6120,0.000629072
6130,0.000634082
6140,0.000636572
6150,0.000635852
6160,0.000633671
6170,0.000647191
6180,0.000639862
6190,0.000653972
6200,0.000640562
6210,0.000647621
6220,0.000642371
6230,0.000650751
6240,0.000645762
6250,0.000656022
6260,0.000664701
6270,0.000665201
6280,0.000656571
6290,0.000656421
6300,0.000661431
6310,0.000653432
6320,0.000663432
6330,0.000668991
6340,0.000666111
6350,0.000658571
6360,0.000664771
6370,0.000673111
6380,0.000666852
6390,0.000667412
6400,0.000674351
6410,0.000670161
6420,0.000671551
6430,0.000674241
6440,0.000684981
6450,0.000678532
6460,0.000678331
6470,0.000680691
6480,0.000681751
