Num4,Llinear
17510,4.3089e-05
17530,4.3139e-05
17550,4.269e-05
17570,4.325e-05
17590,4.285e-05
17610,4.289e-05
17630,4.2939e-05
17650,4.347e-05
17670,4.304e-05
17690,4.3529e-05
17710,4.364e-05
17730,4.365e-05
17750,4.373e-05
17770,4.373e-05
17790,5.0679e-05
17810,4.383e-05
17830,4.388e-05
17850,4.678e-05
17870,4.404e-05
17890,4.356e-05
17910,4.359e-05
17930,4.3879e-05
17950,4.3929e-05
17970,4.426e-05
17990,4.382e-05
18010,4.4319e-05
18030,4.388e-05
18050,4.394e-05
18070,4.446e-05
18090,4.457e-05
18110,4.4549e-05
18130,4.4179e-05
18150,4.419e-05
18170,4.422e-05
18190,4.477e-05
18210,4.483e-05
18230,4.46e-05
18250,4.443e-05
18270,4.498e-05
18290,4.453e-05
18310,4.508e-05
18330,4.461e-05
18350,4.5179e-05
18370,4.4739e-05
18390,4.477e-05
18410,4.905e-05
18430,4.536e-05
18450,4.542e-05
18470,4.4959e-05
18490,5.107e-05
18510,4.557e-05
18530,4.5629e-05
18550,4.516e-05
18570,5.0189e-05
18590,4.578e-05
18610,4.5819e-05
18630,4.589e-05
18650,4.5899e-05
18670,4.548e-05
18690,4.6029e-05
18710,4.556e-05
18730,4.602e-05
18750,4.564e-05
18770,4.622e-05
18790,4.574e-05
18810,4.578e-05
18830,4.587e-05
18850,4.591e-05
18870,4.594e-05
18890,4.6019e-05
18910,4.654e-05
18930,4.663e-05
18950,4.613e-05
18970,4.62e-05
18990,4.625e-05
19010,4.625e-05
19030,4.686e-05
19050,4.687e-05
19070,4.694e-05
19090,4.647e-05
19110,4.704e-05
19130,4.66e-05
19150,4.713e-05
19170,4.664e-05
19190,4.724e-05
19210,4.7299e-05
19230,4.732e-05
19250,4.739e-05
19270,4.745e-05
19290,4.748e-05
19310,4.754e-05
19330,4.706e-05
19350,4.763e-05
19370,4.714e-05
19390,4.7739e-05
19410,4.78e-05
19430,4.7829e-05
19450,4.785e-05
19470,4.7919e-05
19490,4.744e-05
19510,4.8019e-05
19530,4.753e-05
19550,4.815e-05
19570,4.815e-05
19590,4.819e-05
19610,4.832e-05
19630,4.834e-05
19650,4.834e-05
19670,4.814e-05
19690,4.846e-05
19710,4.851e-05
19730,4.8549e-05
19750,4.8639e-05
19770,4.815e-05
19790,4.869e-05
19810,4.82e-05
19830,4.881e-05
19850,4.857e-05
19870,4.892e-05
19890,4.845e-05
19910,4.87e-05
19930,4.856e-05
19950,4.9079e-05
19970,4.9169e-05
19990,4.917e-05
20010,4.871e-05
20030,4.874e-05
20050,4.9369e-05
20070,4.941e-05
20090,4.891e-05
20110,4.893e-05
20130,4.9609e-05
20150,4.903e-05
20170,5.035e-05
20190,4.912e-05
20210,4.921e-05
20230,4.922e-05
20250,4.932e-05
20270,4.937e-05
20290,4.99e-05
20310,4.943e-05
20330,5.007e-05
20350,5.011e-05
20370,5.0159e-05
20390,5.02e-05
20410,5.023e-05
20430,5.0329e-05
20450,5.033e-05
20470,4.985e-05
20490,5.047e-05
20510,5.05e-05
20530,5.0249e-05
20550,5.0019e-05
20570,5.008e-05
20590,5.012e-05
20610,5.019e-05
20630,5.177e-05
20650,5.026e-05
20670,5.087e-05
20690,5.038e-05
20710,5.0979e-05
20730,5.048e-05
20750,5.107e-05
20770,5.1159e-05
20790,5.119e-05
20810,5.064e-05
20830,5.073e-05
20850,5.131e-05
20870,5.0809e-05
20890,5.146e-05
20910,5.09e-05
20930,5.1219e-05
20950,5.159e-05
20970,5.569e-05
20990,5.168e-05
21010,5.174e-05
21030,5.1189e-05
21050,5.185e-05
21070,5.1889e-05
21090,5.136e-05
21110,5.1369e-05
21130,5.146e-05
21150,5.146e-05
21170,5.2129e-05
21190,5.215e-05
21210,5.275e-05
21230,5.225e-05
21250,5.4859e-05
21270,5.236e-05
21290,5.183e-05
21310,5.186e-05
21330,5.249e-05
21350,5.2009e-05
21370,5.2009e-05
21390,5.2639e-05
21410,5.272e-05
21430,5.219e-05
21450,5.279e-05
21470,5.225e-05
21490,5.2319e-05
21510,5.2359e-05
21530,5.943e-05
21550,5.303e-05
21570,5.311e-05
21590,5.315e-05
21610,5.259e-05
21630,5.3239e-05
21650,5.331e-05
21670,5.277e-05
21690,5.335e-05
21710,5.2869e-05
21730,5.292e-05
21750,5.2949e-05
21770,5.36e-05
21790,5.307e-05
21810,5.37e-05
21830,5.313e-05
21850,5.3189e-05
21870,5.326e-05
21890,5.3289e-05
21910,5.393e-05
21930,5.4439e-05
21950,5.401e-05
21970,5.3489e-05
21990,5.698e-05
22010,5.3589e-05
22030,5.361e-05
22050,5.366e-05
