Num,Ordenament bombolla
330,0.000686975
330,0.000674406
330,0.000667926
330,0.000680526
330,0.000658536
330,0.000667726
330,0.000692546
340,0.000720296
340,0.000720366
340,0.000718306
340,0.000709296
340,0.000706576
340,0.000725686
340,0.000716256
340,0.000710426
340,0.000714705
340,0.000720215
350,0.000775925
350,0.000768976
350,0.000740806
350,0.000766405
350,0.000765115
350,0.000770316
350,0.000763126
350,0.000777055
350,0.000784555
350,0.000792645
360,0.000790095
360,0.000804786
360,0.000801465
360,0.000834475
360,0.000802015
360,0.000821605
360,0.000816015
360,0.000828405
360,0.000786256
360,0.000808505
370,0.000865194
370,0.000882994
370,0.000855624
370,0.000866245
370,0.000845565
370,0.000853295
370,0.000836945
370,0.000863494
370,0.000830525
370,0.000858535
380,0.000914365
380,0.000931774
380,0.000865904
380,0.000903544
380,0.000936714
380,0.000897995
380,0.000910525
380,0.000924854
380,0.000877224
380,0.000905314
390,0.000956604
390,0.000955114
390,0.000963334
390,0.000959204
390,0.000954014
390,0.000950014
390,0.000957934
390,0.000945055
390,0.000950414
390,0.000936595
400,0.00100531
400,0.00102285
400,0.00101131
400,0.00102238
400,0.00101161
400,0.000991344
400,0.00101242
400,0.00100163
400,0.000989604
400,0.000999384
410,0.00106541
410,0.00105961
410,0.00108303
410,0.00105012
410,0.0010413
410,0.00108268
410,0.00104714
410,0.0010462
410,0.00105429
410,0.0010744
420,0.00111413
420,0.00111154
420,0.00111902
420,0.00110982
420,0.00110633
420,0.00112115
420,0.0011254
420,0.00112546
420,0.00113843
420,0.00110962
430,0.00116084
430,0.00117204
430,0.0011572
430,0.00114979
430,0.00115319
430,0.00114728
430,0.00116209
430,0.001156
430,0.00117717
430,0.00116676
440,0.00122559
440,0.00125187
440,0.00122354
440,0.001216
440,0.00118678
440,0.00121681
440,0.00119766
440,0.00121881
440,0.00123168
440,0.00122538
450,0.00126058
450,0.00126275
450,0.00126424
450,0.00130075
450,0.00128325
450,0.00128862
450,0.0012865
450,0.00128065
450,0.00126066
450,0.00126503
460,0.00134309
460,0.00130715
460,0.00134487
460,0.00131098
460,0.00133924
460,0.00134734
460,0.00132119
460,0.00132398
460,0.00131368
460,0.00134219
470,0.0013622
470,0.00139074
470,0.00134014
470,0.00142617
470,0.00139162
470,0.0013642
470,0.00139983
470,0.00138825
470,0.00137682
470,0.00140611
480,0.00144663
480,0.00142075
480,0.00145974
480,0.00145031
480,0.00146544
480,0.00144387
480,0.00143764
480,0.00142256
480,0.00144083
480,0.00146242
490,0.00151305
490,0.0015297
490,0.00152286
490,0.00150237
490,0.00155672
490,0.00152869
490,0.00149257
490,0.00147
490,0.00152938
490,0.00150733
500,0.00156464
500,0.00154374
500,0.0015471
500,0.00157734
500,0.0016363
500,0.00157845
500,0.00167667
500,0.00160795
500,0.00163178
500,0.00156908
510,0.00172156
510,0.00166614
510,0.00162716
510,0.00167511
510,0.00163838
510,0.0016443
510,0.00161351
510,0.0016239
510,0.0016539
510,0.00160876
520,0.00171759
520,0.00172751
520,0.00169836
520,0.00168373
520,0.00170935
520,0.00169442
520,0.00171288
520,0.00168329
520,0.00169991
520,0.0016735
530,0.00180586
530,0.00179364
530,0.00176496
530,0.0017847
530,0.00181347
530,0.00176784
530,0.00175901
530,0.00173588
530,0.00176017
530,0.00175879
540,0.00185359
540,0.00186018
540,0.00181532
540,0.00184318
540,0.0018138
540,0.00185309
540,0.0018461
540,0.00182844
540,0.00185562
540,0.00183121
550,0.00187867
550,0.00193056
550,0.00188493
550,0.00187774
550,0.00191374
550,0.00190595
550,0.00189318
550,0.00192087
550,0.00193769
550,0.0018988
560,0.00199624
560,0.00194749
560,0.00198061
560,0.00199905
560,0.00199398
560,0.00196278
560,0.00201925
560,0.00198638
560,0.0019745
560,0.00195602
570,0.00205826
570,0.00200712
570,0.00204647
570,0.00201474
570,0.00206191
570,0.00205504
570,0.00205168
570,0.00204605
570,0.00206857
570,0.00204181
580,0.0021342
580,0.00212331
580,0.00206795
580,0.00214348
580,0.00209961
580,0.00212548
580,0.00210974
580,0.00217488
580,0.00214477
580,0.00213417
590,0.00221616
590,0.00218059
590,0.00218571
590,0.00223853
590,0.00219466
590,0.00218814
590,0.00218066
590,0.00221044
590,0.00216783
590,0.00217004
600,0.00227671
600,0.00227757
600,0.00229434
600,0.00232738
600,0.00225663
600,0.00235259
600,0.00229674
600,0.00228018
600,0.00230546
600,0.00227035
610,0.00237497
610,0.00236537
610,0.00230714
610,0.00237641
610,0.00236638
610,0.00238875
610,0.00234424
610,0.00235003
610,0.00234799
610,0.00233873
620,0.00241937
620,0.00242913
620,0.00243385
620,0.0024514
620,0.00241559
620,0.00239948
620,0.00245869
620,0.0024937
620,0.0023585
620,0.00243639
630,0.00249621
630,0.00250661
630,0.00253695
630,0.00253176
630,0.00249286
630,0.00251292
630,0.00251687
630,0.00254156
630,0.00253864
630,0.00247584
640,0.00258466
640,0.00257216
640,0.00263472
640,0.00252346
640,0.00265365
640,0.00260313
640,0.00259887
640,0.00260075
640,0.00260794
640,0.0025908
650,0.00270688
650,0.00266001
650,0.00267368
650,0.00264395
650,0.00267588
650,0.00270879
650,0.00266114
650,0.00267317
650,0.00269939
650,0.00273156
660,0.00276233
660,0.00273422
660,0.00269436
660,0.00276824
660,0.00286527
660,0.00272864
660,0.0027546
660,0.00273262
660,0.00275562
660,0.00274287
670,0.00283866
670,0.00283232
670,0.00287802
670,0.00285455
670,0.00289344
670,0.00289128
670,0.00287218
670,0.00284004
670,0.00288064
670,0.00284598
680,0.00290605
680,0.00293338
680,0.00293087
680,0.00292616
680,0.00292062
680,0.00298122
680,0.00292451
680,0.00301353
680,0.00289541
680,0.00297853
690,0.00299141
690,0.00301339
690,0.00302336
690,0.00296733
690,0.0030584
690,0.00300436
690,0.00297573
690,0.00296568
690,0.00304741
690,0.00306269
700,0.00307532
700,0.00312499
700,0.00308318
700,0.00308868
700,0.00313148
700,0.0031353
700,0.00306604
700,0.00310876
700,0.00312478
700,0.00310947
710,0.00318186
710,0.00317624
710,0.00319293
710,0.00324901
710,0.0032094
710,0.00317301
710,0.00324793
710,0.00312828
710,0.00319314
710,0.00321007
720,0.00329563
720,0.003256
720,0.00326235
720,0.00335953
720,0.00331261
720,0.00324864
720,0.00333591
720,0.00327122
720,0.00331309
720,0.00327054
730,0.00332117
730,0.00335483
730,0.00332653
730,0.00334363
730,0.0034186
730,0.00344408
730,0.00335843
730,0.00337561
730,0.00337795
730,0.00335363
740,0.00357949
740,0.00350579
740,0.00354476
740,0.00353879
740,0.00347026
740,0.00345303
740,0.00347976
740,0.00353189
740,0.00351026
740,0.00357806
750,0.00360397
750,0.00356996
750,0.00356587
750,0.00358492
750,0.00356319
750,0.00361967
750,0.00356184
750,0.00361359
750,0.00361807
750,0.00360452
760,0.00370969
760,0.00366681
760,0.0037611
760,0.00366716
760,0.00371828
760,0.00368854
760,0.00373705
760,0.00369683
760,0.00369579
760,0.00363003
770,0.00375345
770,0.0037909
770,0.00376809
770,0.00381672
770,0.00379626
770,0.00387449
770,0.00378241
770,0.00378374
770,0.00384124
770,0.00372807
780,0.00388146
780,0.00389093
780,0.00384994
780,0.00393083
780,0.00392791
780,0.00385801
780,0.00384599
780,0.0039201
780,0.00388693
780,0.00386558
790,0.00406635
790,0.00399598
790,0.00396061
790,0.00397517
790,0.00395407
790,0.00398098
790,0.00393054
790,0.00392316
790,0.0039138
790,0.00390263
800,0.00400326
800,0.00411345
800,0.00409478
800,0.00409421
800,0.00414099
800,0.00408044
800,0.00411729
800,0.00412601
800,0.00401878
800,0.00420283
810,0.00418331
810,0.0041995
810,0.00415639
810,0.0042547
810,0.0042018
810,0.00421215
810,0.00414713
810,0.00414421
810,0.00417952
810,0.00419087
820,0.00428273
820,0.00427636
820,0.00428655
820,0.00423709
820,0.00439526
820,0.00433351
820,0.00432921
820,0.00428194
820,0.00430565
820,0.00429499
830,0.00432745
830,0.00443376
830,0.00447196
830,0.00443912
830,0.00433866
830,0.00437327
830,0.00442119
830,0.00437576
830,0.00442352
830,0.00436252
840,0.00454821
840,0.00452048
840,0.00457485
840,0.00454718
840,0.00444869
840,0.0045248
840,0.00453233
840,0.00450929
840,0.00454726
840,0.00446856
850,0.00461548
850,0.00459547
850,0.00455511
850,0.0046207
850,0.0045861
850,0.00459145
850,0.0046859
850,0.00473904
850,0.00461828
850,0.00463949
860,0.00472573
860,0.00475578
860,0.00459382
860,0.00467633
860,0.00493356
860,0.00478574
860,0.00470814
860,0.00464677
860,0.00473728
860,0.00480194
870,0.00481819
870,0.0048065
870,0.0048112
870,0.00480379
870,0.00474219
870,0.00487886
870,0.00488145
870,0.00486458
870,0.0048239
870,0.00477131
880,0.00492635
880,0.00497637
880,0.00500684
880,0.0050349
880,0.00501616
880,0.00494802
880,0.00494731
880,0.00496564
880,0.00486921
880,0.00494447
890,0.00498142
890,0.0050343
890,0.00509421
890,0.00504813
890,0.00503124
890,0.00508747
890,0.00516771
890,0.00499589
890,0.00517599
890,0.00509058
900,0.00517356
900,0.00526113
900,0.00526136
900,0.0051244
900,0.00511991
900,0.00515075
900,0.00513944
900,0.00517222
900,0.00511593
900,0.00526459
910,0.00527457
910,0.00532519
910,0.00528058
910,0.00532871
910,0.00538729
910,0.00519517
910,0.00528072
910,0.00536304
910,0.0052843
910,0.00527691
920,0.00546986
920,0.00538942
920,0.0054357
920,0.00530744
920,0.00547735
920,0.00540172
920,0.00545245
920,0.00544133
920,0.00537942
920,0.0053935
930,0.00552388
930,0.00551764
930,0.00546063
930,0.00552104
930,0.00544722
930,0.00548548
930,0.00555866
930,0.00544836
930,0.00548905
930,0.00549369
940,0.00567925
940,0.00562921
940,0.00556581
940,0.00558214
940,0.00566965
940,0.0056224
940,0.00560549
940,0.00556941
940,0.00554319
940,0.00576721
950,0.00590623
950,0.00579547
950,0.00572974
950,0.00567911
950,0.00574331
950,0.00567065
950,0.00566722
950,0.00571815
950,0.00570138
950,0.00578874
960,0.00610178
960,0.00589735
960,0.00592931
960,0.00588786
960,0.0059932
960,0.00583076
960,0.00579774
960,0.00583273
960,0.00574082
960,0.00588649
970,0.00601534
970,0.00606903
970,0.00604727
970,0.00600593
970,0.00594521
970,0.00591531
970,0.00603036
970,0.00603424
970,0.00594338
970,0.0060466
980,0.00607356
980,0.00625063
980,0.00607592
980,0.00612096
980,0.00609774
980,0.006133
980,0.00612557
980,0.00619941
980,0.00608286
980,0.00607299
990,0.0062624
990,0.00627183
990,0.00628819
990,0.00627104
990,0.00625441
990,0.00618241
990,0.0062984
990,0.00638092
990,0.00622287
990,0.00625297
1000,0.00646402
1000,0.00636074
1000,0.00631516
1000,0.00647982
1000,0.00632896
1000,0.00639478
1000,0.00639856
1000,0.0063516
1000,0.00644966
1000,0.00633927
1010,0.00770004
1010,0.006467
1010,0.00650717
1010,0.006478
1010,0.00651617
1010,0.00643049
1010,0.00657775
1010,0.00658455
1010,0.00649429
1010,0.00657277
1020,0.00670453
1020,0.00660187
1020,0.00663105
1020,0.00661287
1020,0.00657832
1020,0.00654459
1020,0.0066872
1020,0.00653356
1020,0.00661235
1020,0.00665112
1030,0.0067003
1030,0.00682559
1030,0.00685305
1030,0.0066093
1030,0.00665832
1030,0.00690106
1030,0.00673553
1030,0.00678032
1030,0.00675971
1030,0.00677453
1040,0.0069999
1040,0.00680987
1040,0.00686148
1040,0.00692879
1040,0.00683814
1040,0.00682464
1040,0.00695339
1040,0.00695046
1040,0.00692195
1040,0.0068191
1050,0.00708449
1050,0.00703963
1050,0.00699089
1050,0.0069713
1050,0.00701688
1050,0.00695073
1050,0.00694029
1050,0.00716888
1050,0.00693004
1050,0.00704533
1060,0.00717057
1060,0.00715725
1060,0.00717415
1060,0.0071343
1060,0.00709603
1060,0.00708324
1060,0.00711112
1060,0.00715343
1060,0.0071024
1060,0.0071034
1070,0.00725258
1070,0.00729547
1070,0.00720446
1070,0.00723858
1070,0.00735491
1070,0.0071503
1070,0.00719184
1070,0.00732327
1070,0.00720614
1070,0.00746749
1080,0.00759827
